get time: 0.00012388 s, token_id len: 4, device: cuda:0
get time: 0.00011772 s, token_id len: 4, device: cuda:0
get time: 0.00011737 s, token_id len: 4, device: cuda:0
get time: 0.00012791 s, token_id len: 3, device: cuda:0
get time: 0.00011923 s, token_id len: 3, device: cuda:0
get time: 0.00011656 s, token_id len: 6, device: cuda:0
get time: 0.00011518 s, token_id len: 6, device: cuda:0
get time: 0.00012054 s, token_id len: 2, device: cuda:0
get time: 0.00011168 s, token_id len: 2, device: cuda:0
get time: 0.00011410 s, token_id len: 4, device: cuda:0
get time: 0.00011385 s, token_id len: 4, device: cuda:0
get time: 0.00011560 s, token_id len: 4, device: cuda:0
get time: 0.00011546 s, token_id len: 4, device: cuda:0
get time: 0.00013714 s, token_id len: 12, device: cuda:0
get time: 0.00014101 s, token_id len: 12, device: cuda:0
get time: 0.00013320 s, token_id len: 14, device: cuda:0
get time: 0.00011863 s, token_id len: 14, device: cuda:0
get time: 0.00012928 s, token_id len: 18, device: cuda:0
get time: 0.00011679 s, token_id len: 18, device: cuda:0
get time: 0.00011642 s, token_id len: 16, device: cuda:0
get time: 0.00012036 s, token_id len: 16, device: cuda:0
get time: 0.00011584 s, token_id len: 4, device: cuda:0
get time: 0.00011521 s, token_id len: 4, device: cuda:0
get time: 0.00011748 s, token_id len: 11, device: cuda:0
get time: 0.00011268 s, token_id len: 11, device: cuda:0
get time: 0.00011650 s, token_id len: 7, device: cuda:0
get time: 0.00011772 s, token_id len: 7, device: cuda:0
get time: 0.00013123 s, token_id len: 17, device: cuda:0
get time: 0.00012921 s, token_id len: 17, device: cuda:0
get time: 0.00011961 s, token_id len: 18, device: cuda:0
get time: 0.00011543 s, token_id len: 18, device: cuda:0
get time: 0.00011571 s, token_id len: 21, device: cuda:0
get time: 0.00011460 s, token_id len: 21, device: cuda:0
get time: 0.00011205 s, token_id len: 10, device: cuda:0
get time: 0.00011361 s, token_id len: 10, device: cuda:0
get time: 0.00011674 s, token_id len: 9, device: cuda:0
get time: 0.00011514 s, token_id len: 9, device: cuda:0
get time: 0.00013283 s, token_id len: 12, device: cuda:0
get time: 0.00012050 s, token_id len: 12, device: cuda:0
get time: 0.00011388 s, token_id len: 2, device: cuda:0
get time: 0.00011300 s, token_id len: 2, device: cuda:0
get time: 0.00013454 s, token_id len: 53, device: cuda:0
get time: 0.00013106 s, token_id len: 53, device: cuda:0
get time: 0.00011998 s, token_id len: 58, device: cuda:0
get time: 0.00011721 s, token_id len: 58, device: cuda:0
get time: 0.00011613 s, token_id len: 58, device: cuda:0
get time: 0.00011621 s, token_id len: 58, device: cuda:0
get time: 0.00011339 s, token_id len: 60, device: cuda:0
get time: 0.00011935 s, token_id len: 60, device: cuda:0
get time: 0.00011509 s, token_id len: 57, device: cuda:0
get time: 0.00011452 s, token_id len: 57, device: cuda:0
get time: 0.00011487 s, token_id len: 58, device: cuda:0
get time: 0.00011940 s, token_id len: 58, device: cuda:0
get time: 0.00011713 s, token_id len: 25, device: cuda:0
get time: 0.00011633 s, token_id len: 25, device: cuda:0
get time: 0.00013403 s, token_id len: 22, device: cuda:0
get time: 0.00012253 s, token_id len: 22, device: cuda:0
get time: 0.00011862 s, token_id len: 36, device: cuda:0
get time: 0.00011735 s, token_id len: 36, device: cuda:0
get time: 0.00011563 s, token_id len: 32, device: cuda:0
get time: 0.00011549 s, token_id len: 32, device: cuda:0
