get time: 0.00012962 s, token_id len: 64, device: cuda:0
get time: 0.00013473 s, token_id len: 64, device: cuda:0
get time: 0.00012978 s, token_id len: 64, device: cuda:0
get time: 0.00013076 s, token_id len: 64, device: cuda:0
get time: 0.00012911 s, token_id len: 64, device: cuda:0
get time: 0.00013817 s, token_id len: 64, device: cuda:0
get time: 0.00012937 s, token_id len: 64, device: cuda:0
get time: 0.00013131 s, token_id len: 64, device: cuda:0
get time: 0.00012624 s, token_id len: 64, device: cuda:0
get time: 0.00016066 s, token_id len: 64, device: cuda:0
get time: 0.00012865 s, token_id len: 64, device: cuda:0
get time: 0.00013399 s, token_id len: 64, device: cuda:0
get time: 0.00012588 s, token_id len: 64, device: cuda:0
get time: 0.00013178 s, token_id len: 64, device: cuda:0
get time: 0.00012904 s, token_id len: 64, device: cuda:0
get time: 0.00013345 s, token_id len: 64, device: cuda:0
get time: 0.00013120 s, token_id len: 64, device: cuda:0
get time: 0.00013022 s, token_id len: 64, device: cuda:0
get time: 0.00012978 s, token_id len: 64, device: cuda:0
get time: 0.00012533 s, token_id len: 64, device: cuda:0
get time: 0.00013059 s, token_id len: 64, device: cuda:0
get time: 0.00013792 s, token_id len: 64, device: cuda:0
get time: 0.00015847 s, token_id len: 39, device: cuda:0
get time: 0.00014053 s, token_id len: 39, device: cuda:0
get time: 0.00013764 s, token_id len: 64, device: cuda:0
get time: 0.00013501 s, token_id len: 64, device: cuda:0
get time: 0.00013139 s, token_id len: 64, device: cuda:0
get time: 0.00013066 s, token_id len: 64, device: cuda:0
get time: 0.00013474 s, token_id len: 64, device: cuda:0
get time: 0.00013272 s, token_id len: 64, device: cuda:0
get time: 0.00012984 s, token_id len: 64, device: cuda:0
get time: 0.00013215 s, token_id len: 64, device: cuda:0
get time: 0.00013292 s, token_id len: 64, device: cuda:0
get time: 0.00013282 s, token_id len: 64, device: cuda:0
get time: 0.00013399 s, token_id len: 64, device: cuda:0
get time: 0.00013243 s, token_id len: 64, device: cuda:0
get time: 0.00013460 s, token_id len: 64, device: cuda:0
get time: 0.00013638 s, token_id len: 64, device: cuda:0
get time: 0.00013004 s, token_id len: 64, device: cuda:0
get time: 0.00013110 s, token_id len: 64, device: cuda:0
get time: 0.00013118 s, token_id len: 64, device: cuda:0
get time: 0.00013367 s, token_id len: 64, device: cuda:0
get time: 0.00013603 s, token_id len: 64, device: cuda:0
get time: 0.00012961 s, token_id len: 64, device: cuda:0
get time: 0.00012876 s, token_id len: 64, device: cuda:0
get time: 0.00013403 s, token_id len: 64, device: cuda:0
get time: 0.00013228 s, token_id len: 64, device: cuda:0
get time: 0.00013059 s, token_id len: 64, device: cuda:0
get time: 0.00013001 s, token_id len: 64, device: cuda:0
get time: 0.00013233 s, token_id len: 64, device: cuda:0
get time: 0.00012944 s, token_id len: 64, device: cuda:0
get time: 0.00013119 s, token_id len: 64, device: cuda:0
get time: 0.00012888 s, token_id len: 64, device: cuda:0
get time: 0.00012864 s, token_id len: 64, device: cuda:0
get time: 0.00012750 s, token_id len: 64, device: cuda:0
get time: 0.00012740 s, token_id len: 64, device: cuda:0
get time: 0.00013626 s, token_id len: 64, device: cuda:0
get time: 0.00013390 s, token_id len: 64, device: cuda:0
get time: 0.00013153 s, token_id len: 64, device: cuda:0
get time: 0.00013288 s, token_id len: 64, device: cuda:0
get time: 0.00013164 s, token_id len: 64, device: cuda:0
get time: 0.00012994 s, token_id len: 64, device: cuda:0
get time: 0.00012914 s, token_id len: 64, device: cuda:0
get time: 0.00012901 s, token_id len: 64, device: cuda:0
get time: 0.00013321 s, token_id len: 64, device: cuda:0
get time: 0.00012936 s, token_id len: 64, device: cuda:0
get time: 0.00012897 s, token_id len: 64, device: cuda:0
get time: 0.00015502 s, token_id len: 64, device: cuda:0
get time: 0.00013833 s, token_id len: 64, device: cuda:0
get time: 0.00013418 s, token_id len: 64, device: cuda:0
get time: 0.00013250 s, token_id len: 64, device: cuda:0
get time: 0.00012958 s, token_id len: 64, device: cuda:0
get time: 0.00012786 s, token_id len: 64, device: cuda:0
get time: 0.00013124 s, token_id len: 64, device: cuda:0
get time: 0.00013898 s, token_id len: 64, device: cuda:0
get time: 0.00013402 s, token_id len: 64, device: cuda:0
get time: 0.00013296 s, token_id len: 64, device: cuda:0
get time: 0.00012980 s, token_id len: 64, device: cuda:0
get time: 0.00012926 s, token_id len: 64, device: cuda:0
get time: 0.00012861 s, token_id len: 64, device: cuda:0
get time: 0.00012504 s, token_id len: 64, device: cuda:0
get time: 0.00013172 s, token_id len: 64, device: cuda:0
get time: 0.00013326 s, token_id len: 64, device: cuda:0
get time: 0.00012828 s, token_id len: 64, device: cuda:0
get time: 0.00012946 s, token_id len: 64, device: cuda:0
get time: 0.00013007 s, token_id len: 64, device: cuda:0
get time: 0.00012843 s, token_id len: 64, device: cuda:0
get time: 0.00012948 s, token_id len: 64, device: cuda:0
get time: 0.00013425 s, token_id len: 64, device: cuda:0
get time: 0.00013633 s, token_id len: 64, device: cuda:0
get time: 0.00013140 s, token_id len: 64, device: cuda:0
get time: 0.00012737 s, token_id len: 64, device: cuda:0
get time: 0.00012985 s, token_id len: 64, device: cuda:0
get time: 0.00014013 s, token_id len: 64, device: cuda:0
get time: 0.00012856 s, token_id len: 64, device: cuda:0
get time: 0.00012796 s, token_id len: 64, device: cuda:0
get time: 0.00012813 s, token_id len: 64, device: cuda:0
get time: 0.00013184 s, token_id len: 64, device: cuda:0
get time: 0.00012635 s, token_id len: 64, device: cuda:0
get time: 0.00013119 s, token_id len: 64, device: cuda:0
get time: 0.00012900 s, token_id len: 64, device: cuda:0
get time: 0.00013201 s, token_id len: 64, device: cuda:0
get time: 0.00012343 s, token_id len: 64, device: cuda:0
get time: 0.00012644 s, token_id len: 64, device: cuda:0
get time: 0.00013258 s, token_id len: 64, device: cuda:0
get time: 0.00013095 s, token_id len: 64, device: cuda:0
get time: 0.00012571 s, token_id len: 64, device: cuda:0
get time: 0.00012840 s, token_id len: 64, device: cuda:0
get time: 0.00013092 s, token_id len: 64, device: cuda:0
get time: 0.00012934 s, token_id len: 64, device: cuda:0
get time: 0.00012885 s, token_id len: 64, device: cuda:0
get time: 0.00012781 s, token_id len: 64, device: cuda:0
get time: 0.00013226 s, token_id len: 64, device: cuda:0
get time: 0.00013221 s, token_id len: 64, device: cuda:0
get time: 0.00015796 s, token_id len: 39, device: cuda:0
get time: 0.00014478 s, token_id len: 39, device: cuda:0
get time: 0.00013417 s, token_id len: 64, device: cuda:0
get time: 0.00013629 s, token_id len: 64, device: cuda:0
get time: 0.00013258 s, token_id len: 64, device: cuda:0
get time: 0.00013316 s, token_id len: 64, device: cuda:0
get time: 0.00013457 s, token_id len: 64, device: cuda:0
get time: 0.00013558 s, token_id len: 64, device: cuda:0
get time: 0.00013154 s, token_id len: 64, device: cuda:0
get time: 0.00015208 s, token_id len: 64, device: cuda:0
get time: 0.00013727 s, token_id len: 64, device: cuda:0
get time: 0.00013581 s, token_id len: 64, device: cuda:0
get time: 0.00013102 s, token_id len: 64, device: cuda:0
get time: 0.00013191 s, token_id len: 64, device: cuda:0
get time: 0.00013268 s, token_id len: 64, device: cuda:0
get time: 0.00013380 s, token_id len: 64, device: cuda:0
get time: 0.00012753 s, token_id len: 64, device: cuda:0
get time: 0.00013430 s, token_id len: 64, device: cuda:0
get time: 0.00013854 s, token_id len: 64, device: cuda:0
get time: 0.00013251 s, token_id len: 64, device: cuda:0
get time: 0.00012962 s, token_id len: 64, device: cuda:0
get time: 0.00013084 s, token_id len: 64, device: cuda:0
get time: 0.00013438 s, token_id len: 64, device: cuda:0
get time: 0.00013151 s, token_id len: 64, device: cuda:0
get time: 0.00013042 s, token_id len: 64, device: cuda:0
get time: 0.00013313 s, token_id len: 64, device: cuda:0
get time: 0.00012941 s, token_id len: 64, device: cuda:0
get time: 0.00013717 s, token_id len: 64, device: cuda:0
get time: 0.00016853 s, token_id len: 64, device: cuda:0
get time: 0.00013656 s, token_id len: 64, device: cuda:0
get time: 0.00013602 s, token_id len: 64, device: cuda:0
get time: 0.00013014 s, token_id len: 64, device: cuda:0
get time: 0.00013099 s, token_id len: 64, device: cuda:0
get time: 0.00013048 s, token_id len: 64, device: cuda:0
get time: 0.00012634 s, token_id len: 64, device: cuda:0
get time: 0.00013195 s, token_id len: 64, device: cuda:0
get time: 0.00014005 s, token_id len: 64, device: cuda:0
get time: 0.00013566 s, token_id len: 64, device: cuda:0
get time: 0.00013321 s, token_id len: 64, device: cuda:0
get time: 0.00013477 s, token_id len: 64, device: cuda:0
get time: 0.00013641 s, token_id len: 64, device: cuda:0
get time: 0.00013444 s, token_id len: 64, device: cuda:0
get time: 0.00013008 s, token_id len: 64, device: cuda:0
get time: 0.00013491 s, token_id len: 64, device: cuda:0
get time: 0.00013329 s, token_id len: 64, device: cuda:0
get time: 0.00013124 s, token_id len: 64, device: cuda:0
get time: 0.00014610 s, token_id len: 64, device: cuda:0
get time: 0.00013609 s, token_id len: 64, device: cuda:0
get time: 0.00013166 s, token_id len: 64, device: cuda:0
get time: 0.00013555 s, token_id len: 64, device: cuda:0
